

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.049  000.042: event init
000.097  000.048: early init
000.156  000.060: locale set
000.197  000.040: init first window
000.418  000.222: inits 1
000.429  000.011: window checked
000.432  000.003: parsing arguments
000.782  000.047  000.047: require('vim.shared')
000.901  000.056  000.056: require('vim._meta')
000.903  000.118  000.062: require('vim._editor')
000.906  000.212  000.048: require('vim._init_packages')
000.908  000.263: init lua interpreter
000.988  000.081: expanding arguments
001.017  000.029: inits 2
001.317  000.300: init highlight
001.319  000.002: waiting for UI
001.488  000.169: done waiting for UI
001.498  000.010: clear screen
001.626  000.128: init default mappings & autocommands
001.881  000.040  000.040: sourcing /usr/share/nvim/runtime/ftplugin.vim
001.924  000.016  000.016: sourcing /usr/share/nvim/runtime/indent.vim
001.966  000.007  000.007: sourcing /usr/share/nvim/archlinux.vim
001.969  000.020  000.013: sourcing /etc/xdg/nvim/sysinit.vim
002.276  000.088  000.088: require('bootstrap.settings')
002.592  000.267  000.267: require('bootstrap.plugins')
002.680  000.085  000.085: require('lazy')
002.709  000.015  000.015: require('ffi')
002.751  000.039  000.039: require('vim.loader')
002.794  000.017  000.017: require('vim.fs')
002.956  000.190  000.173: require('lazy.stats')
003.112  000.120  000.120: require('lazy.core.util')
003.193  000.079  000.079: require('lazy.core.config')
003.356  000.071  000.071: require('lazy.core.handler')
003.428  000.070  000.070: require('lazy.core.plugin')
003.434  000.240  000.099: require('lazy.core.loader')
004.567  000.049  000.049: require('lazy.core.handler.event')
004.571  000.112  000.062: require('lazy.core.handler.ft')
004.617  000.042  000.042: require('lazy.core.handler.keys')
004.664  000.044  000.044: require('lazy.core.handler.cmd')
004.980  000.164  000.164: sourcing /usr/share/nvim/runtime/filetype.lua
005.815  000.051  000.051: sourcing /home/fs144/.local/share/nvim/lazy/nvim-dap/plugin/dap.lua
006.094  000.177  000.177: require('dap.utils')
006.107  000.819  000.591: require('dap')
006.510  000.036  000.036: require('dapui.async.tasks')
006.605  000.092  000.092: require('dapui.async.control')
006.753  000.145  000.145: require('dapui.async.uv')
006.807  000.052  000.052: require('dapui.async.tests')
006.908  000.068  000.068: require('vim.ui')
006.914  000.104  000.036: require('dapui.async.ui')
006.979  000.064  000.064: require('dapui.async.lsp')
006.988  000.555  000.063: require('dapui.async')
007.273  000.058  000.058: require('dapui.config.highlights')
007.344  000.299  000.241: require('dapui.config')
007.349  000.360  000.061: require('dapui.util')
007.426  000.075  000.075: require('dapui.windows.layout')
007.432  001.119  000.129: require('dapui.windows')
007.510  000.077  000.077: require('dapui.controls')
007.519  001.409  000.214: require('dapui')
007.817  000.297  000.297: require('nvim-dap-virtual-text')
008.278  000.457  000.457: require('dap-python')
008.487  000.068  000.068: require('dapui.logging')
008.533  000.042  000.042: require('dapui.client.types')
008.552  000.181  000.071: require('dapui.client')
008.594  000.040  000.040: require('dap.breakpoints')
008.625  000.025  000.025: require('dapui.client.lib')
008.679  000.027  000.027: require('dapui.render.canvas')
008.681  000.050  000.023: require('dapui.elements.breakpoints')
008.715  000.025  000.025: require('dapui.components.breakpoints')
008.760  000.033  000.033: require('dapui.elements.repl')
008.783  000.020  000.020: require('dapui.elements.scopes')
008.816  000.021  000.021: require('dapui.components.scopes')
008.841  000.022  000.022: require('dapui.components.variables')
008.873  000.024  000.024: require('dapui.elements.stacks')
008.924  000.019  000.019: require('dapui.components.frames')
008.927  000.048  000.029: require('dapui.components.threads')
008.967  000.029  000.029: require('dapui.elements.watches')
009.030  000.037  000.037: require('dapui.components.watches')
009.070  000.023  000.023: require('dapui.elements.hover')
009.132  000.056  000.056: require('dapui.components.hover')
009.183  000.042  000.042: require('dapui.elements.console')
017.150  012.125  008.466: require('dev.debugger')
018.234  000.823  000.823: require('oil')
018.444  000.205  000.205: require('oil.config')
020.429  001.705  001.705: require('vim.filetype')
021.122  000.055  000.055: require('oil.util')
021.126  003.948  001.160: require('dev.oil-config')
021.585  000.037  000.037: require('ccc.utils')
021.616  000.026  000.026: require('ccc.config')
